Id, Title, Year, Num_Citiation, Authors, Fields_of_Study, 
2062196125, A Perceptual-Statistics Shading Model,2012,9, Veronika Solteszova; Cagatay Turkay; Mark C. Price; Ivan Viola, Computer vision; Shading; Artificial intelligence; Shape analysis (digital geometry); Visualization; Statistics; Data visualization; Statistical model; Computer science; Data analysis; Perception; Visual perception, 
2620085779, Weaving versus blending: a quantitative assessment of the information carrying capacities of two alternative methods for conveying multivariate data with color,2006,1, Haleh Hagh-Shenas; Victoria Interrante; Christopher G. Healey; Sunghee Kim, Computer vision; Artificial intelligence; Computer graphics (images); ICC profile; Color balance; Lab color space; Color histogram; Computer science; Color depth; Gamut; Luminance; Color space, 
2062779075, NetLens: Iterative Exploration of Content-Actor Network Data,2006,53, Hyunmo Kang; Catherine Plaisant; Bongshin Lee; Benjamin B. Bederson, , 
2062874539, Multivariate Data Analysis Using Persistence-Based Filtering and Topological Signatures,2012,23, Bastian Rieck; Hubert Mara; Heike Leitte, Data visualization; Machine learning; Cluster analysis; Artificial intelligence; Persistence (computer science); Topological data analysis; Data set; Synthetic data; Topology; Data structure; Persistent homology; Mathematics, 
2063027415, Visualization of multi-dimensional data with vector-fusion,2000,9, Robert R. Johnson, Helix; Visualization; Computer science; Computational geometry; Data visualization; Sensor fusion; Automatic target recognition; Artificial intelligence; Parallel coordinates; Machine learning; Curse of dimensionality; Pattern recognition, 
2063209174, Algorithm visualization for distributed environments,2004,5, Yoram Moses; Zvi Polunsky; Ayellet Tal; Leonid Ulitsky, Theoretical computer science; Conceptual model; Distributed algorithm; Asynchronous communication; Animation; Visualization; Web page; Algorithm; Computer science; Distributed Computing Environment; Distributed design patterns; Distributed computing, 
2063340904, Narratives: A visualization to track narrative events as they develop,2008,44, Danyel Fisher; Aaron Hoff; George G. Robertson; Matthew Hurst, STREAMS; Computer science; Data mining; Visualization; Social environment; Multimedia; Data visualization; Cluster analysis; Social media; User interface; Text mining, 
2063359332, A Lightweight Tangible 3D Interface for Interactive Visualization of Thin Fiber Structures,2013,21, Bret Jackson; Tung Yuen Lau; David Schroeder; Kimani C. Toussaint; Daniel F. Keefe, Computer vision; Fiber; Feature extraction; Visualization; Data visualization; Artificial intelligence; Scientific visualization; Computer science; Graphics; Interactive visualization; 3D interaction, 
2063535907, LSAView: A tool for visual exploration of latent semantic modeling,2009,15, Patricia Crossno; Daniel M. Dunlavy; Timothy M. Shead, Data domain; Data mining; Computer science; Semantic data model; Small multiple; Data visualization; Visualization; Latent semantic analysis; Cluster analysis; Data modeling, 
2063560027, Sunfall: a collaborative visual analytics system for astrophysics,2008,8, Cecilia R. Aragon; S. Bailey; Sarah Poon; K. Runge; R. C. Thomas, , 
